"local_electoral","fecha_recepcion_trep","codigo_candidatura","numero_mesa","numero_lista","total_votos","total_votantes","tiempo_estimado_hora"
"0_0_4_22","2023-04-30 17:38:51.272",1,1,911,29,304,15
"0_0_5_16","2023-04-30 17:38:56.994",1,5,911,36,309,15
"0_0_5_16","2023-04-30 17:38:56.994",1,5,1,169,309,15
"0_0_5_16","2023-04-30 17:38:56.994",1,5,3,78,309,15
"0_0_4_31","2023-04-30 17:39:04.884",1,6,1,195,306,15
"0_0_4_31","2023-04-30 17:39:04.884",1,6,911,30,306,15
"0_0_4_31","2023-04-30 17:39:04.884",1,6,3,63,306,15
"0_0_1_9","2023-04-30 17:39:18.251",1,4,911,62,307,15
"0_0_1_9","2023-04-30 17:39:18.251",1,4,3,84,307,15
"0_0_1_9","2023-04-30 17:39:18.251",1,4,1,148,307,15
"0_0_5_39","2023-04-30 17:39:43.445",1,3,1,154,303,15
"0_0_5_39","2023-04-30 17:39:43.445",1,3,911,65,303,15
"0_0_5_39","2023-04-30 17:39:43.445",1,3,3,63,303,15
"0_0_3_30","2023-04-30 17:39:51.337",1,15,911,32,308,15
"0_0_3_30","2023-04-30 17:39:51.337",1,15,3,82,308,15
"0_0_3_30","2023-04-30 17:39:51.337",1,15,1,172,308,15
"0_0_5_9","2023-04-30 17:40:26.378",1,7,911,55,303,15
"0_0_5_9","2023-04-30 17:40:26.378",1,7,1,143,303,15
"0_0_5_9","2023-04-30 17:40:26.378",1,7,3,78,303,15
"0_0_1_18","2023-04-30 17:41:17.573",1,2,911,42,351,17
"0_0_1_18","2023-04-30 17:41:17.573",1,2,1,201,351,17
"0_0_1_18","2023-04-30 17:41:17.573",1,2,3,74,351,17
"0_0_5_28","2023-04-30 17:41:17.616",1,13,3,76,310,15
"0_0_5_28","2023-04-30 17:41:17.616",1,13,911,44,310,15
"0_0_5_28","2023-04-30 17:41:17.616",1,13,1,172,310,15
"0_0_5_6","2023-04-30 17:41:28.592",1,2,911,76,308,15
"0_0_5_6","2023-04-30 17:41:28.592",1,2,3,53,308,15
"0_0_5_6","2023-04-30 17:41:28.592",1,2,1,153,308,15
"0_0_3_12","2023-04-30 17:42:16.289",1,2,3,101,303,15
"0_0_3_12","2023-04-30 17:42:16.289",1,2,1,153,303,15
"0_0_3_12","2023-04-30 17:42:16.289",1,2,911,26,303,15
"4_30_0_1","2023-04-30 17:42:31.088",1,6,1,170,313,15
"4_30_0_1","2023-04-30 17:42:31.088",1,6,3,59,313,15
"4_30_0_1","2023-04-30 17:42:31.088",1,6,911,75,313,15
"0_0_1_8","2023-04-30 17:42:42.859",1,6,1,180,307,15
